Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,property_Area_Rural,property_Area_Semiurban,property_Area_Urban,Gender_Female,Gender_Male,Total_Income,Loan_Income_Ratio,EMI,Balance_Income
0.0,0.0,0.0,0.0,5849.0,0.0,128.0,360.0,1.0,1,0,1,0,0,1,5849.0,0.021884082749187895,0.35555555555555557,5848.644444444444
1.0,1.0,0.0,0.0,3806.0,1508.0,128.0,360.0,1.0,0,0,0,1,0,1,5314.0,0.024087316522393678,0.35555555555555557,5313.644444444444
1.0,0.0,0.0,1.0,3000.0,0.0,66.0,360.0,1.0,1,0,1,0,0,1,3000.0,0.022,0.18333333333333332,2999.8166666666666
1.0,0.0,1.0,0.0,2583.0,2358.0,120.0,360.0,1.0,1,0,1,0,0,1,4941.0,0.024286581663630843,0.3333333333333333,4940.666666666667
0.0,0.0,0.0,0.0,6000.0,0.0,141.0,360.0,1.0,1,0,1,0,0,1,6000.0,0.0235,0.39166666666666666,5999.608333333334
1.0,2.0,0.0,1.0,5417.0,4196.0,261.5,360.0,1.0,1,0,1,0,0,1,9613.0,0.027202746281077706,0.7263888888888889,9612.273611111112
1.0,0.0,1.0,0.0,2333.0,1516.0,95.0,360.0,1.0,1,0,1,0,0,1,3849.0,0.024681735515718367,0.2638888888888889,3848.7361111111113
1.0,3.0,0.0,0.0,3036.0,2504.0,158.0,360.0,0.0,0,1,0,0,0,1,5540.0,0.02851985559566787,0.4388888888888889,5539.561111111111
1.0,2.0,0.0,0.0,4006.0,1526.0,168.0,360.0,1.0,1,0,1,0,0,1,5532.0,0.03036876355748373,0.4666666666666667,5531.533333333334
1.0,1.0,0.0,0.0,10171.25,5743.125,261.5,360.0,1.0,0,1,0,0,0,1,15914.375,0.016431685190276088,0.7263888888888889,15913.648611111112
1.0,2.0,0.0,0.0,3200.0,700.0,70.0,360.0,1.0,1,0,1,0,0,1,3900.0,0.017948717948717947,0.19444444444444445,3899.8055555555557
1.0,2.0,0.0,0.0,2500.0,1167.0,109.0,360.0,1.0,1,0,1,0,0,1,3667.0,0.029724570493591493,0.30277777777777776,3666.697222222222
1.0,2.0,0.0,0.0,3073.0,5743.125,200.0,360.0,1.0,1,0,1,0,0,1,8816.125,0.022685703753066114,0.5555555555555556,8815.569444444445
